ID,label
0,4
1,9
2,8
3,0
4,4
5,7
6,7
7,7
8,9
9,1
10,4
11,2
12,4
13,7
14,6
15,0
16,5
17,7
18,9
19,7
20,9
21,9
22,4
23,1
24,8
25,1
26,6
27,2
28,8
29,8
30,2
31,9
32,9
33,3
34,0
35,1
36,5
37,3
38,2
39,3
40,1
41,4
42,1
43,8
44,0
45,3
46,5
47,7
48,1
49,5
50,2
51,7
52,6
53,7
54,7
55,3
56,2
57,3
58,6
59,5
60,6
61,5
62,0
63,6
64,4
65,9
66,5
67,3
68,1
69,1
70,7
71,1
72,8
73,6
74,3
75,4
76,4
77,1
78,9
79,8
80,0
81,1
82,1
83,3
84,3
85,8
86,1
87,8
88,1
89,2
90,4
91,5
92,7
93,1
94,1
95,1
96,9
97,2
98,3
99,5
100,2
101,2
102,1
103,0
104,5
105,1
106,8
107,7
108,1
109,2
110,9
111,4
112,4
113,5
114,2
115,5
116,6
117,6
118,9
119,6
120,5
121,0
122,7
123,6
124,8
125,7
126,0
127,4
128,2
129,2
130,1
131,1
132,2
133,1
134,9
135,2
136,2
137,0
138,9
139,9
140,3
141,2
142,2
143,0
144,2
145,4
146,0
147,4
148,3
149,2
150,6
151,4
152,6
153,2
154,8
155,8
156,5
157,0
158,9
159,9
160,8
161,7
162,3
163,8
164,6
165,8
166,4
167,1
168,9
169,0
170,8
171,5
172,0
173,8
174,4
175,8
176,7
177,0
178,4
179,9
180,6
181,7
182,8
183,8
184,5
185,2
186,1
187,5
188,2
189,0
190,7
191,1
192,7
193,7
194,2
195,7
196,1
197,5
198,2
199,6
200,7
201,4
202,5
203,6
204,9
205,0
206,4
207,3
208,7
209,8
210,3
211,2
212,3
213,8
214,3
215,0
216,7
217,0
218,4
219,4
220,5
221,0
222,6
223,5
224,1
225,8
226,8
227,3
228,0
229,7
230,1
231,3
232,1
233,5
234,4
235,7
236,5
237,2
238,0
239,7
240,0
241,2
242,5
243,7
244,9
245,3
246,0
247,4
248,8
249,0
250,8
251,3
252,2
253,0
254,1
255,3
256,9
257,2
258,8
259,0
260,8
261,1
262,7
263,8
264,1
265,6
266,1
267,6
268,2
269,5
270,5
271,8
272,4
273,1
274,9
275,1
276,2
277,5
278,2
279,6
280,7
281,7
282,8
283,1
284,7
285,8
286,6
287,0
288,6
289,2
290,4
291,1
292,7
293,1
294,0
295,6
296,8
297,1
298,7
299,7
300,1
301,7
302,2
303,7
304,8
305,7
306,6
307,0
308,3
309,4
310,9
311,1
312,1
313,1
314,1
315,2
316,6
317,3
318,1
319,6
320,8
321,6
322,7
323,2
324,9
325,5
326,3
327,8
328,2
329,7
330,4
331,4
332,3
333,9
334,6
335,1
336,6
337,8
338,9
339,1
340,5
341,2
342,2
343,8
344,8
345,7
346,7
347,8
348,0
349,7
350,8
351,9
352,1
353,3
354,4
355,2
356,4
357,1
358,2
359,8
360,8
361,1
362,6
363,3
364,8
365,2
366,4
367,6
368,4
369,4
370,9
371,3
372,4
373,4
374,1
375,8
376,4
377,8
378,7
379,9
380,7
381,3
382,1
383,0
384,4
385,1
386,3
387,1
388,7
389,2
390,4
391,2
392,7
393,7
394,8
395,2
396,6
397,3
398,5
399,4
400,6
401,0
402,8
403,5
404,2
405,0
406,1
407,0
408,8
409,7
410,2
411,3
412,5
413,9
414,3
415,1
416,3
417,0
418,6
419,3
420,9
421,4
422,6
423,2
424,7
425,1
426,4
427,3
428,1
429,3
430,7
431,1
432,1
433,8
434,9
435,2
436,9
437,5
438,2
439,7
440,2
441,0
442,4
443,9
444,8
445,8
446,7
447,4
448,4
449,6
450,6
451,2
452,3
453,7
454,6
455,0
456,2
457,0
458,9
459,1
460,4
461,7
462,2
463,7
464,7
465,5
466,9
467,5
468,2
469,2
470,7
471,0
472,4
473,9
474,9
475,4
476,0
477,2
478,7
479,0
480,6
481,5
482,8
483,8
484,1
485,0
486,8
487,2
488,5
489,2
490,6
491,2
492,3
493,7
494,0
495,1
496,3
497,8
498,8
499,9
500,3
501,2
502,5
503,3
504,2
505,5
506,2
507,3
508,1
509,3
510,8
511,3
512,7
513,8
514,4
515,7
516,6
517,8
518,4
519,2
520,2
521,3
522,6
523,5
524,1
525,5
526,4
527,6
528,4
529,7
530,9
531,8
532,0
533,5
534,7
535,1
536,6
537,0
538,6
539,3
540,8
541,2
542,0
543,6
544,2
545,7
546,6
547,1
548,2
549,2
550,0
551,3
552,6
553,8
554,8
555,4
556,6
557,5
558,3
559,9
560,8
561,8
562,3
563,0
564,1
565,4
566,1
567,7
568,1
569,2
570,9
571,1
572,4
573,0
574,3
575,7
576,9
577,6
578,5
579,5
580,8
581,6
582,9
583,4
584,1
585,6
586,6
587,7
588,7
589,7
590,3
591,0
592,5
593,7
594,9
595,5
596,7
597,6
598,6
599,4
600,2
601,7
602,9
603,9
604,6
605,0
606,2
607,9
608,1
609,5
610,4
611,4
612,5
613,3
614,7
615,0
616,7
617,1
618,0
619,6
620,7
621,3
622,6
623,3
624,2
625,7
626,0
627,6
628,4
629,2
630,0
631,5
632,6
633,5
634,5
635,4
636,8
637,2
638,8
639,8
640,6
641,7
642,7
643,3
644,7
645,6
646,0
647,2
648,2
649,8
650,4
651,7
652,5
653,5
654,6
655,2
656,1
657,8
658,1
659,5
660,3
661,7
662,7
663,8
664,2
665,5
666,3
667,6
668,2
669,5
670,6
671,7
672,7
673,1
674,9
675,2
676,9
677,3
678,8
679,2
680,3
681,5
682,5
683,5
684,7
685,1
686,6
687,8
688,6
689,3
690,6
691,7
692,2
693,4
694,5
695,8
696,9
697,5
698,1
699,7
700,4
701,5
702,8
703,1
704,5
705,8
706,0
707,3
708,3
709,3
710,1
711,3
712,8
713,3
714,9
715,7
716,9
717,6
718,0
719,9
720,2
721,9
722,8
723,6
724,1
725,6
726,0
727,0
728,8
729,3
730,8
731,0
732,3
733,7
734,2
735,7
736,7
737,8
738,5
739,6
740,6
741,7
742,9
743,1
744,4
745,4
746,5
747,1
748,1
749,0
750,9
751,9
752,0
753,9
754,4
755,4
756,9
757,7
758,6
759,0
760,1
761,0
762,1
763,5
764,4
765,8
766,9
767,3
768,0
769,8
770,1
771,6
772,9
773,3
774,5
775,1
776,9
777,3
778,7
779,7
780,8
781,3
782,4
783,9
784,6
785,4
786,2
787,2
788,7
789,9
790,2
791,2
792,7
793,7
794,4
795,9
796,2
797,0
798,9
799,9
800,8
801,3
802,8
803,6
804,8
805,7
806,7
807,9
808,4
809,4
810,3
811,3
812,5
813,7
814,8
815,1
816,2
817,4
818,1
819,3
820,7
821,1
822,1
823,1
824,1
825,7
826,3
827,4
828,2
829,3
830,1
831,7
832,4
833,0
834,7
835,1
836,9
837,9
838,4
839,7
840,5
841,4
842,2
843,8
844,3
845,3
846,6
847,1
848,5
849,0
850,9
851,8
852,1
853,8
854,9
855,4
856,2
857,7
858,7
859,5
860,5
861,3
862,2
863,6
864,0
865,1
866,9
867,8
868,7
869,3
870,7
871,9
872,1
873,5
874,9
875,9
876,1
877,0
878,4
879,6
880,9
881,2
882,4
883,0
884,1
885,6
886,4
887,8
888,2
889,3
890,8
891,5
892,6
893,0
894,8
895,6
896,7
897,4
898,4
899,9
900,5
901,0
902,9
903,7
904,0
905,6
906,5
907,0
908,0
909,3
910,3
911,1
912,7
913,7
914,6
915,9
916,5
917,0
918,3
919,1
920,8
921,1
922,5
923,1
924,6
925,8
926,4
927,8
928,8
929,7
930,4
931,0
932,4
933,5
934,9
935,2
936,7
937,3
938,2
939,6
940,7
941,7
942,0
943,8
944,0
945,0
946,0
947,7
948,8
949,8
950,0
951,0
952,6
953,2
954,7
955,1
956,4
957,7
958,2
959,3
960,2
961,2
962,2
963,2
964,9
965,8
966,3
967,2
968,4
969,2
970,0
971,7
972,0
973,3
974,8
975,0
976,9
977,3
978,3
979,8
980,7
981,5
982,4
983,3
984,8
985,2
986,8
987,0
988,4
989,6
990,5
991,4
992,2
993,2
994,1
995,7
996,0
997,3
998,4
999,7
1000,1
1001,2
1002,5
1003,5
1004,9
1005,3
1006,6
1007,2
1008,9
1009,2
1010,8
1011,2
1012,8
1013,9
1014,6
1015,0
1016,1
1017,7
1018,1
1019,8
1020,1
1021,6
1022,7
1023,1
1024,5
1025,0
1026,5
1027,8
1028,0
1029,1
1030,3
1031,1
1032,7
1033,5
1034,9
1035,4
1036,2
1037,6
1038,8
1039,7
1040,5
1041,8
1042,6
1043,6
1044,1
1045,2
1046,3
1047,4
1048,3
1049,2
1050,7
1051,0
1052,0
1053,7
1054,4
1055,9
1056,5
1057,8
1058,1
1059,2
1060,5
1061,9
1062,1
1063,9
1064,8
1065,3
1066,8
1067,6
1068,0
1069,0
1070,1
1071,7
1072,6
1073,6
1074,1
1075,5
1076,3
1077,5
1078,0
1079,1
1080,4
1081,4
1082,1
1083,2
1084,6
1085,6
1086,3
1087,3
1088,9
1089,2
1090,6
1091,0
1092,9
1093,2
1094,0
1095,6
1096,5
1097,8
1098,1
1099,2
1100,2
1101,7
1102,6
1103,9
1104,0
1105,3
1106,5
1107,8
1108,0
1109,1
1110,6
1111,6
1112,4
1113,1
1114,4
1115,3
1116,5
1117,2
1118,9
1119,4
1120,1
1121,4
1122,1
1123,1
1124,4
1125,0
1126,1
1127,6
1128,1
1129,6
1130,6
1131,8
1132,5
1133,0
1134,3
1135,6
1136,0
1137,6
1138,3
1139,7
1140,2
1141,7
1142,8
1143,3
1144,2
1145,5
1146,1
1147,2
1148,2
1149,5
1150,2
1151,8
1152,9
1153,5
1154,4
1155,9
1156,8
1157,2
1158,4
1159,7
1160,1
1161,8
1162,1
1163,1
1164,4
1165,0
1166,0
1167,3
1168,0
1169,4
1170,4
1171,1
1172,0
1173,3
1174,8
1175,6
1176,0
1177,6
1178,3
1179,3
1180,7
1181,0
1182,9
1183,8
1184,2
1185,5
1186,4
1187,0
1188,7
1189,1
1190,1
1191,1
1192,5
1193,2
1194,9
1195,4
1196,8
1197,1
1198,7
1199,2
1200,2
1201,4
1202,6
1203,5
1204,4
1205,2
1206,1
1207,9
1208,6
1209,0
1210,0
1211,5
1212,7
1213,7
1214,4
1215,1
1216,7
1217,3
1218,2
1219,8
1220,4
1221,7
1222,5
1223,7
1224,2
1225,5
1226,1
1227,0
1228,6
1229,8
1230,0
1231,5
1232,4
1233,7
1234,6
1235,8
1236,1
1237,7
1238,0
1239,4
1240,0
1241,2
1242,6
1243,5
1244,8
1245,1
1246,0
1247,0
1248,7
1249,7
1250,6
1251,8
1252,1
1253,2
1254,5
1255,4
1256,2
1257,5
1258,2
1259,3
1260,6
1261,0
1262,5
1263,1
1264,3
1265,1
1266,6
1267,9
1268,1
1269,7
1270,7
1271,0
1272,4
1273,5
1274,1
1275,7
1276,4
1277,0
1278,7
1279,3
1280,4
1281,6
1282,7
1283,1
1284,7
1285,7
1286,3
1287,7
1288,3
1289,2
1290,3
1291,9
1292,1
1293,1
1294,0
1295,5
1296,6
1297,0
1298,3
1299,1
1300,9
1301,6
1302,2
1303,2
1304,5
1305,3
1306,0
1307,3
1308,9
1309,7
1310,3
1311,7
1312,7
1313,5
1314,3
1315,5
1316,1
1317,3
1318,6
1319,8
1320,4
1321,5
1322,9
1323,1
1324,6
1325,4
1326,9
1327,7
1328,0
1329,8
1330,9
1331,9
1332,3
1333,2
1334,7
1335,1
1336,9
1337,2
1338,9
1339,8
1340,1
1341,9
1342,6
1343,3
1344,9
1345,2
1346,4
1347,2
1348,9
1349,7
1350,3
1351,4
1352,4
1353,4
1354,5
1355,9
1356,8
1357,1
1358,0
1359,9
1360,7
1361,3
1362,2
1363,2
1364,9
1365,4
1366,1
1367,1
1368,9
1369,2
1370,4
1371,8
1372,6
1373,6
1374,5
1375,1
1376,6
1377,1
1378,2
1379,4
1380,0
1381,6
1382,3
1383,7
1384,3
1385,3
1386,4
1387,1
1388,1
1389,0
1390,4
1391,7
1392,0
1393,8
1394,0
1395,8
1396,7
1397,0
1398,6
1399,3
1400,1
1401,8
1402,6
1403,8
1404,1
1405,5
1406,9
1407,1
1408,0
1409,6
1410,9
1411,3
1412,0
1413,5
1414,1
1415,9
1416,3
1417,1
1418,8
1419,1
1420,8
1421,3
1422,3
1423,1
1424,0
1425,5
1426,8
1427,0
1428,8
1429,0
1430,5
1431,6
1432,4
1433,7
1434,9
1435,0
1436,3
1437,3
1438,2
1439,4
1440,3
1441,1
1442,7
1443,5
1444,8
1445,4
1446,6
1447,1
1448,4
1449,9
1450,9
1451,5
1452,5
1453,5
1454,8
1455,6
1456,9
1457,9
1458,6
1459,2
1460,8
1461,4
1462,0
1463,1
1464,2
1465,4
1466,0
1467,7
1468,0
1469,0
1470,4
1471,8
1472,3
1473,1
1474,9
1475,9
1476,8
1477,8
1478,4
1479,4
1480,8
1481,0
1482,2
1483,5
1484,3
1485,2
1486,6
1487,8
1488,1
1489,0
1490,4
1491,5
1492,7
1493,9
1494,0
1495,6
1496,4
1497,8
1498,0
1499,1
1500,5
1501,9
1502,1
1503,7
1504,1
1505,9
1506,3
1507,9
1508,2
1509,8
1510,6
1511,4
1512,5
1513,7
1514,6
1515,0
1516,2
1517,4
1518,0
1519,2
1520,0
1521,2
1522,4
1523,4
1524,2
1525,9
1526,0
1527,3
1528,0
1529,4
1530,0
1531,5
1532,2
1533,7
1534,5
1535,7
1536,1
1537,7
1538,7
1539,9
1540,0
1541,9
1542,7
1543,1
1544,0
1545,3
1546,0
1547,6
1548,6
1549,1
1550,8
1551,6
1552,0
1553,8
1554,2
1555,1
1556,4
1557,0
1558,7
1559,4
1560,7
1561,1
1562,9
1563,5
1564,0
1565,9
1566,4
1567,6
1568,7
1569,9
1570,6
1571,5
1572,7
1573,9
1574,4
1575,0
1576,3
1577,9
1578,6
1579,4
1580,2
1581,0
1582,2
1583,5
1584,5
1585,2
1586,5
1587,3
1588,6
1589,6
1590,2
1591,9
1592,7
1593,9
1594,6
1595,9
1596,7
1597,0
1598,6
1599,5
1600,7
1601,4
1602,7
1603,0
1604,5
1605,9
1606,6
1607,5
1608,1
1609,6
1610,6
1611,4
1612,3
1613,8
1614,2
1615,9
1616,6
1617,5
1618,2
1619,0
1620,7
1621,7
1622,3
1623,1
1624,0
1625,7
1626,3
1627,5
1628,9
1629,7
1630,1
1631,3
1632,6
1633,6
1634,0
1635,4
1636,8
1637,0
1638,7
1639,5
1640,2
1641,3
1642,0
1643,6
1644,1
1645,6
1646,2
1647,5
1648,3
1649,3
1650,6
1651,9
1652,2
1653,7
1654,1
1655,5
1656,7
1657,4
1658,4
1659,0
1660,7
1661,9
1662,4
1663,6
1664,4
1665,0
1666,8
1667,9
1668,7
1669,7
1670,9
1671,0
1672,8
1673,6
1674,5
1675,8
1676,0
1677,4
1678,5
1679,8
1680,3
1681,8
1682,4
1683,2
1684,2
1685,9
1686,3
1687,0
1688,5
1689,8
1690,4
1691,1
1692,7
1693,7
1694,9
1695,4
1696,6
1697,3
1698,9
1699,6
1700,0
1701,6
1702,0
1703,4
1704,0
1705,2
1706,2
1707,3
1708,2
1709,7
1710,8
1711,2
1712,2
1713,0
1714,5
1715,6
1716,2
1717,7
1718,3
1719,0
1720,0
1721,1
1722,2
1723,4
1724,8
1725,6
1726,3
1727,3
1728,4
1729,3
1730,7
1731,2
1732,0
1733,3
1734,9
1735,9
1736,5
1737,8
1738,5
1739,1
1740,8
1741,1
1742,0
1743,7
1744,7
1745,1
1746,5
1747,1
1748,5
1749,3
1750,7
1751,0
1752,6
1753,7
1754,4
1755,6
1756,8
1757,8
1758,3
1759,5
1760,2
1761,6
1762,2
1763,1
1764,2
1765,0
1766,9
1767,7
1768,1
1769,1
1770,8
1771,3
1772,3
1773,2
1774,5
1775,0
1776,0
1777,0
1778,6
1779,1
1780,8
1781,7
1782,1
1783,7
1784,9
1785,7
1786,0
1787,7
1788,5
1789,6
1790,2
1791,0
1792,9
1793,7
1794,8
1795,4
1796,5
1797,3
1798,6
1799,0
1800,3
1801,1
1802,3
1803,7
1804,7
1805,5
1806,1
1807,8
1808,2
1809,1
1810,8
1811,4
1812,3
1813,4
1814,9
1815,9
1816,5
1817,1
1818,3
1819,3
1820,4
1821,7
1822,6
1823,3
1824,7
1825,4
1826,6
1827,2
1828,6
1829,7
1830,4
1831,1
1832,7
1833,2
1834,5
1835,6
1836,3
1837,1
1838,9
1839,0
1840,3
1841,9
1842,1
1843,5
1844,9
1845,3
1846,2
1847,9
1848,8
1849,3
1850,2
1851,3
1852,5
1853,6
1854,9
1855,1
1856,9
1857,8
1858,7
1859,5
1860,5
1861,1
1862,5
1863,9
1864,8
1865,5
1866,6
1867,3
1868,5
1869,4
1870,4
1871,8
1872,5
1873,9
1874,3
1875,8
1876,7
1877,2
1878,5
1879,7
1880,1
1881,0
1882,1
1883,6
1884,0
1885,0
1886,7
1887,3
1888,5
1889,2
1890,9
1891,8
1892,8
1893,6
1894,8
1895,6
1896,2
1897,2
1898,4
1899,6
1900,8
1901,9
1902,4
1903,7
1904,6
1905,2
1906,2
1907,2
1908,1
1909,8
1910,4
1911,9
1912,3
1913,7
1914,5
1915,9
1916,4
1917,0
1918,4
1919,1
1920,8
1921,0
1922,4
1923,7
1924,7
1925,9
1926,3
1927,0
1928,0
1929,3
1930,1
1931,4
1932,2
1933,0
1934,0
1935,5
1936,1
1937,6
1938,6
1939,1
1940,6
1941,0
1942,3
1943,5
1944,4
1945,6
1946,9
1947,9
1948,7
1949,8
1950,6
1951,2
1952,2
1953,9
1954,2
1955,4
1956,9
1957,1
1958,1
1959,6
1960,7
1961,4
1962,4
1963,6
1964,2
1965,8
1966,8
1967,2
1968,7
1969,1
1970,7
1971,2
1972,3
1973,6
1974,5
1975,9
1976,9
1977,9
1978,8
1979,9
1980,6
1981,8
1982,3
1983,3
1984,3
1985,1
1986,8
1987,1
1988,7
1989,9
1990,1
1991,8
1992,4
1993,3
1994,8
1995,6
1996,1
1997,3
1998,3
1999,0
2000,2
2001,6
2002,2
2003,0
2004,6
2005,0
2006,3
2007,1
2008,3
2009,9
2010,5
2011,5
2012,9
2013,6
2014,7
2015,2
2016,3
2017,6
2018,1
2019,5
2020,4
2021,3
2022,3
2023,1
2024,0
2025,6
2026,5
2027,4
2028,5
2029,1
2030,1
2031,2
2032,5
2033,6
2034,3
2035,1
2036,3
2037,0
2038,4
2039,3
2040,4
2041,0
2042,5
2043,1
2044,4
2045,4
2046,4
2047,4
2048,1
2049,7
2050,6
2051,7
2052,3
2053,4
2054,3
2055,8
2056,9
2057,6
2058,4
2059,6
2060,6
2061,9
2062,6
2063,0
2064,6
2065,2
2066,5
2067,6
2068,5
2069,6
2070,4
2071,9
2072,3
2073,6
2074,8
2075,9
2076,9
2077,2
2078,8
2079,8
2080,0
2081,1
2082,9
2083,8
2084,6
2085,5
2086,1
2087,5
2088,0
2089,2
2090,0
2091,7
2092,6
